time,temperature_2m,precipitation,weather_code,windspeed_10m,precipitation_probability
2025-03-09 00:00:00,3.1,0.0,0,0.8,0
2025-03-09 01:00:00,2.1,0.0,0,3.9,0
2025-03-09 02:00:00,1.2,0.0,0,0.8,0
2025-03-09 03:00:00,0.4,0.0,0,1.9,0
2025-03-09 04:00:00,-0.1,0.0,0,2.6,0
2025-03-09 05:00:00,-0.3,0.0,0,5.0,0
2025-03-09 06:00:00,-1.9,0.0,0,2.9,0
2025-03-09 07:00:00,-2.2,0.0,0,5.9,0
2025-03-09 08:00:00,-1.1,0.0,1,6.1,0
2025-03-09 09:00:00,2.2,0.0,0,6.1,0
2025-03-09 10:00:00,6.5,0.0,0,12.2,0
2025-03-09 11:00:00,9.2,0.0,0,14.4,0
2025-03-09 12:00:00,11.7,0.0,0,15.9,0
2025-03-09 13:00:00,13.3,0.0,0,17.2,0
2025-03-09 14:00:00,14.4,0.0,2,22.3,0
2025-03-09 15:00:00,14.8,0.0,1,21.1,0
2025-03-09 16:00:00,15.5,0.0,0,17.5,0
2025-03-09 17:00:00,16.0,0.0,0,17.3,0
2025-03-09 18:00:00,15.6,0.0,0,14.5,0
2025-03-09 19:00:00,13.9,0.0,0,8.9,0
2025-03-09 20:00:00,12.1,0.0,0,11.5,0
2025-03-09 21:00:00,10.6,0.0,0,2.3,0
2025-03-09 22:00:00,9.5,0.0,0,2.3,0
2025-03-09 23:00:00,8.3,0.0,0,5.4,0
2025-03-10 00:00:00,7.4,0.0,0,4.1,0
2025-03-10 01:00:00,6.7,0.0,0,5.2,0
2025-03-10 02:00:00,5.5,0.0,0,8.5,0
2025-03-10 03:00:00,4.8,0.0,0,5.9,0
2025-03-10 04:00:00,4.3,0.0,0,6.4,0
2025-03-10 05:00:00,4.2,0.0,0,5.5,0
2025-03-10 06:00:00,3.2,0.0,0,5.4,0
2025-03-10 07:00:00,2.9,0.0,0,6.5,0
2025-03-10 08:00:00,3.2,0.0,0,2.5,0
2025-03-10 09:00:00,6.3,0.0,0,4.7,0
2025-03-10 10:00:00,9.6,0.0,0,9.8,0
2025-03-10 11:00:00,12.8,0.0,0,8.6,0
2025-03-10 12:00:00,16.7,0.0,0,1.1,0
2025-03-10 13:00:00,17.8,0.0,0,5.5,0
2025-03-10 14:00:00,18.5,0.0,0,6.1,0
2025-03-10 15:00:00,19.0,0.0,0,12.1,0
2025-03-10 16:00:00,18.9,0.0,0,6.0,0
2025-03-10 17:00:00,19.0,0.0,0,3.3,0
2025-03-10 18:00:00,18.2,0.0,0,7.1,0
2025-03-10 19:00:00,16.2,0.0,0,7.1,0
2025-03-10 20:00:00,13.9,0.0,0,9.5,0
2025-03-10 21:00:00,11.9,0.0,0,4.9,0
2025-03-10 22:00:00,10.6,0.0,0,1.1,0
2025-03-10 23:00:00,9.1,0.0,0,5.1,0
2025-03-11 00:00:00,8.1,0.0,0,4.0,0
2025-03-11 01:00:00,6.5,0.0,0,7.7,0
2025-03-11 02:00:00,5.8,0.0,0,5.5,0
2025-03-11 03:00:00,4.6,0.0,0,4.1,0
2025-03-11 04:00:00,3.6,0.0,0,2.3,0
2025-03-11 05:00:00,3.3,0.0,0,3.8,0
2025-03-11 06:00:00,3.2,0.0,0,4.3,0
2025-03-11 07:00:00,2.6,0.0,0,3.4,0
2025-03-11 08:00:00,3.2,0.0,0,2.1,0
2025-03-11 09:00:00,6.5,0.0,0,1.3,0
2025-03-11 10:00:00,10.0,0.0,0,2.3,0
2025-03-11 11:00:00,13.2,0.0,0,4.8,0
2025-03-11 12:00:00,17.2,0.0,0,9.2,0
2025-03-11 13:00:00,19.6,0.0,0,9.4,0
2025-03-11 14:00:00,21.0,0.0,0,10.8,0
2025-03-11 15:00:00,21.4,0.0,0,12.8,0
2025-03-11 16:00:00,22.2,0.0,0,14.1,0
2025-03-11 17:00:00,22.4,0.0,0,12.7,0
2025-03-11 18:00:00,21.7,0.0,0,13.3,0
2025-03-11 19:00:00,19.7,0.0,0,11.9,0
2025-03-11 20:00:00,17.4,0.0,0,4.7,0
2025-03-11 21:00:00,16.3,0.0,0,1.9,0
2025-03-11 22:00:00,14.4,0.0,0,3.2,0
2025-03-11 23:00:00,13.4,0.0,0,2.3,0
2025-03-12 00:00:00,12.4,0.0,0,3.3,0
2025-03-12 01:00:00,11.5,0.0,0,3.5,0
2025-03-12 02:00:00,10.8,0.0,0,6.3,0
2025-03-12 03:00:00,10.0,0.0,0,1.6,0
2025-03-12 04:00:00,9.5,0.0,0,3.6,0
2025-03-12 05:00:00,9.7,0.0,0,7.0,0
2025-03-12 06:00:00,9.7,0.0,0,6.0,0
2025-03-12 07:00:00,9.0,0.0,0,2.7,0
2025-03-12 08:00:00,9.0,0.0,0,2.6,0
2025-03-12 09:00:00,11.0,0.0,0,8.6,0
2025-03-12 10:00:00,12.1,0.0,0,10.6,0
2025-03-12 11:00:00,13.8,0.0,0,6.9,0
2025-03-12 12:00:00,15.7,0.0,0,5.6,0
2025-03-12 13:00:00,17.1,0.0,0,7.9,0
2025-03-12 14:00:00,18.1,0.0,0,8.6,0
2025-03-12 15:00:00,18.6,0.0,0,9.0,0
2025-03-12 16:00:00,19.1,0.0,0,12.1,0
2025-03-12 17:00:00,18.7,0.0,0,13.2,0
2025-03-12 18:00:00,18.1,0.0,0,12.9,0
2025-03-12 19:00:00,15.1,0.0,0,13.0,0
2025-03-12 20:00:00,13.2,0.0,0,14.0,0
2025-03-12 21:00:00,11.9,0.0,0,7.4,0
2025-03-12 22:00:00,10.0,0.0,0,9.6,0
2025-03-12 23:00:00,8.5,0.0,2,8.8,0
2025-03-13 00:00:00,7.1,0.0,3,8.5,0
2025-03-13 01:00:00,6.4,0.0,0,6.7,0
2025-03-13 02:00:00,6.3,0.0,3,10.0,0
2025-03-13 03:00:00,6.3,0.0,3,8.5,0
2025-03-13 04:00:00,6.4,0.0,3,10.3,0
2025-03-13 05:00:00,6.6,0.0,3,9.7,0
2025-03-13 06:00:00,5.9,0.0,3,9.0,0
2025-03-13 07:00:00,6.3,0.0,3,10.0,0
2025-03-13 08:00:00,6.2,0.0,3,10.5,0
2025-03-13 09:00:00,6.3,0.0,3,10.0,0
2025-03-13 10:00:00,6.5,0.0,3,9.8,0
