datetime,temperature,precipitation,weather_code,windspeed
2025-03-09 00:00:00,0.9,0.0,0,6.9
2025-03-09 01:00:00,0.0,0.0,0,6.1
2025-03-09 02:00:00,-0.6,0.0,3,2.9
2025-03-09 03:00:00,-1.7,0.0,1,8.0
2025-03-09 04:00:00,-2.1,0.0,2,7.0
2025-03-09 05:00:00,-3.1,0.0,2,7.0
2025-03-09 06:00:00,-3.0,0.0,3,4.5
2025-03-09 07:00:00,-3.3,0.0,3,5.9
2025-03-09 08:00:00,1.0,0.0,3,8.9
2025-03-09 09:00:00,5.0,0.0,0,16.3
2025-03-09 10:00:00,8.4,0.0,0,16.8
2025-03-09 11:00:00,10.9,0.0,0,19.1
2025-03-09 12:00:00,12.4,0.0,0,23.3
2025-03-09 13:00:00,13.5,0.0,0,24.5
2025-03-09 14:00:00,14.5,0.0,0,24.9
2025-03-09 15:00:00,14.9,0.0,0,24.3
2025-03-09 16:00:00,14.7,0.0,0,22.7
2025-03-09 17:00:00,14.2,0.0,0,18.8
2025-03-09 18:00:00,12.1,0.0,0,7.2
2025-03-09 19:00:00,9.7,0.0,0,8.4
2025-03-09 20:00:00,7.9,0.0,0,4.8
2025-03-09 21:00:00,6.9,0.0,0,3.3
2025-03-09 22:00:00,5.8,0.0,0,6.0
2025-03-09 23:00:00,5.0,0.0,0,6.2
2025-03-10 00:00:00,4.3,0.0,0,7.7
2025-03-10 01:00:00,3.3,0.0,0,8.0
2025-03-10 02:00:00,3.0,0.0,0,9.5
2025-03-10 03:00:00,2.4,0.0,0,7.3
2025-03-10 04:00:00,1.9,0.0,0,6.5
2025-03-10 05:00:00,1.6,0.0,0,6.6
2025-03-10 06:00:00,1.7,0.0,0,5.6
2025-03-10 07:00:00,2.1,0.0,0,9.5
2025-03-10 08:00:00,6.2,0.0,0,8.8
2025-03-10 09:00:00,11.9,0.0,0,8.7
2025-03-10 10:00:00,15.5,0.0,1,10.1
2025-03-10 11:00:00,17.6,0.0,3,10.2
2025-03-10 12:00:00,18.9,0.0,3,9.7
2025-03-10 13:00:00,19.9,0.0,3,9.9
2025-03-10 14:00:00,17.0,0.0,3,4.1
2025-03-10 15:00:00,17.4,0.0,3,3.1
2025-03-10 16:00:00,16.9,0.0,3,3.1
2025-03-10 17:00:00,16.4,0.0,2,1.3
2025-03-10 18:00:00,14.8,0.0,3,3.6
2025-03-10 19:00:00,13.1,0.0,0,6.7
2025-03-10 20:00:00,12.0,0.0,0,5.6
2025-03-10 21:00:00,11.3,0.0,0,5.4
2025-03-10 22:00:00,10.6,0.0,0,5.2
2025-03-10 23:00:00,10.0,0.0,0,4.2
2025-03-11 00:00:00,9.6,0.0,0,1.5
2025-03-11 01:00:00,9.3,0.0,0,1.6
2025-03-11 02:00:00,8.9,0.0,0,1.8
2025-03-11 03:00:00,8.6,0.0,0,1.6
2025-03-11 04:00:00,8.2,0.0,0,1.5
2025-03-11 05:00:00,7.9,0.0,0,2.9
2025-03-11 06:00:00,7.6,0.0,0,4.2
2025-03-11 07:00:00,7.8,0.0,0,4.8
2025-03-11 08:00:00,9.4,0.0,0,4.3
2025-03-11 09:00:00,11.8,0.0,0,4.8
2025-03-11 10:00:00,14.1,0.0,0,4.7
2025-03-11 11:00:00,16.0,0.0,0,6.0
2025-03-11 12:00:00,17.7,0.0,0,5.9
2025-03-11 13:00:00,18.8,0.0,0,7.4
2025-03-11 14:00:00,19.7,0.0,0,8.1
2025-03-11 15:00:00,20.3,0.0,0,10.5
